Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 9 2008,Scunthorpe United FC,1-2,Leeds United FC
1,Sat Aug 9 2008,Yeovil Town FC,1-1,Walsall FC
1,Sat Aug 9 2008,Swindon Town FC,3-1,Tranmere Rovers FC
1,Sat Aug 9 2008,Southend United FC,1-0,Peterborough United FC
1,Sat Aug 9 2008,Oldham Athletic AFC,4-3,Millwall FC
1,Sat Aug 9 2008,Northampton Town FC,4-2,Cheltenham Town FC
1,Sat Aug 9 2008,Leyton Orient FC,2-1,Hereford FC (2014-)
1,Sat Aug 9 2008,Leicester City FC,2-0,Milton Keynes Dons FC
1,Sat Aug 9 2008,Huddersfield Town AFC,1-1,Stockport County FC
1,Sat Aug 9 2008,Hartlepool United FC,4-2,Colchester United FC
1,Sat Aug 9 2008,Crewe Alexandra FC,1-2,Brighton & Hove Albion FC
1,Sat Aug 9 2008,Bristol Rovers FC,2-3,Carlisle United FC
2,Sat Aug 16 2008,Walsall FC,2-1,Scunthorpe United FC
2,Sat Aug 16 2008,Tranmere Rovers FC,1-0,Hartlepool United FC
2,Sat Aug 16 2008,Stockport County FC,0-0,Leicester City FC
2,Sat Aug 16 2008,Peterborough United FC,3-0,Leyton Orient FC
2,Sat Aug 16 2008,Milton Keynes Dons FC,1-0,Northampton Town FC
2,Sat Aug 16 2008,Millwall FC,1-1,Southend United FC
2,Sat Aug 16 2008,Leeds United FC,0-2,Oldham Athletic AFC
2,Sat Aug 16 2008,Hereford FC (2014-),1-2,Yeovil Town FC
2,Sat Aug 16 2008,Colchester United FC,0-0,Huddersfield Town AFC
2,Sat Aug 16 2008,Cheltenham Town FC,2-0,Swindon Town FC
2,Sat Aug 16 2008,Carlisle United FC,4-2,Crewe Alexandra FC
2,Sat Aug 16 2008,Brighton & Hove Albion FC,1-1,Bristol Rovers FC
3,Fri Aug 22 2008,Southend United FC,0-2,Brighton & Hove Albion FC
3,Sat Aug 23 2008,Yeovil Town FC,1-1,Leeds United FC
3,Sat Aug 23 2008,Swindon Town FC,1-3,Colchester United FC
3,Sat Aug 23 2008,Scunthorpe United FC,1-0,Peterborough United FC
3,Sat Aug 23 2008,Oldham Athletic AFC,4-0,Cheltenham Town FC
3,Sat Aug 23 2008,Northampton Town FC,0-0,Millwall FC
3,Sat Aug 23 2008,Leyton Orient FC,0-0,Carlisle United FC
3,Sat Aug 23 2008,Leicester City FC,3-1,Tranmere Rovers FC
3,Sat Aug 23 2008,Huddersfield Town AFC,1-3,Milton Keynes Dons FC
3,Sat Aug 23 2008,Hartlepool United FC,0-1,Stockport County FC
3,Sat Aug 23 2008,Bristol Rovers FC,6-1,Hereford FC (2014-)
3,Sat Aug 23 2008,Crewe Alexandra FC,2-1,Walsall FC
4,Sat Aug 30 2008,Walsall FC,5-2,Southend United FC
4,Sat Aug 30 2008,Tranmere Rovers FC,4-1,Northampton Town FC
4,Sat Aug 30 2008,Stockport County FC,0-3,Scunthorpe United FC
4,Sat Aug 30 2008,Peterborough United FC,1-2,Hartlepool United FC
4,Sat Aug 30 2008,Milton Keynes Dons FC,1-2,Swindon Town FC
4,Sat Aug 30 2008,Millwall FC,2-1,Huddersfield Town AFC
4,Sat Aug 30 2008,Leeds United FC,2-2,Bristol Rovers FC
4,Sat Aug 30 2008,Hereford FC (2014-),2-0,Crewe Alexandra FC
4,Sat Aug 30 2008,Colchester United FC,2-2,Oldham Athletic AFC
4,Sat Aug 30 2008,Cheltenham Town FC,0-4,Leicester City FC
4,Sat Aug 30 2008,Carlisle United FC,4-1,Yeovil Town FC
4,Sat Aug 30 2008,Brighton & Hove Albion FC,0-0,Leyton Orient FC
5,Fri Sep 5 2008,Hereford FC (2014-),1-1,Swindon Town FC
5,Sat Sep 6 2008,Millwall FC,2-0,Hartlepool United FC
5,Sat Sep 6 2008,Walsall FC,0-2,Leyton Orient FC
5,Sat Sep 6 2008,Tranmere Rovers FC,0-1,Oldham Athletic AFC
5,Sat Sep 6 2008,Milton Keynes Dons FC,3-0,Yeovil Town FC
5,Sat Sep 6 2008,Brighton & Hove Albion FC,1-4,Scunthorpe United FC
5,Sat Sep 6 2008,Leeds United FC,5-2,Crewe Alexandra FC
5,Sat Sep 6 2008,Cheltenham Town FC,1-2,Huddersfield Town AFC
5,Sat Sep 6 2008,Carlisle United FC,2-1,Southend United FC
5,Sat Sep 6 2008,Peterborough United FC,5-4,Bristol Rovers FC
6,Fri Sep 12 2008,Hartlepool United FC,4-1,Cheltenham Town FC
6,Sat Sep 13 2008,Swindon Town FC,1-3,Leeds United FC
6,Sat Sep 13 2008,Oldham Athletic AFC,2-0,Milton Keynes Dons FC
6,Sat Sep 13 2008,Leicester City FC,0-1,Millwall FC
6,Sat Sep 13 2008,Yeovil Town FC,1-1,Brighton & Hove Albion FC
6,Sat Sep 13 2008,Crewe Alexandra FC,2-0,Colchester United FC
6,Sat Sep 13 2008,Southend United FC,1-0,Hereford FC (2014-)
6,Sat Sep 13 2008,Huddersfield Town AFC,1-2,Tranmere Rovers FC
6,Sat Sep 13 2008,Bristol Rovers FC,1-3,Walsall FC
6,Sat Sep 13 2008,Northampton Town FC,1-1,Peterborough United FC
6,Sat Sep 13 2008,Leyton Orient FC,0-3,Stockport County FC
6,Sat Sep 13 2008,Scunthorpe United FC,2-1,Carlisle United FC
5,Tue Sep 16 2008,Stockport County FC,1-1,Northampton Town FC
14,Tue Sep 16 2008,Cheltenham Town FC,2-1,Bristol Rovers FC
7,Sat Sep 20 2008,Huddersfield Town AFC,3-2,Northampton Town FC
7,Sat Sep 20 2008,Colchester United FC,0-3,Milton Keynes Dons FC
7,Sat Sep 20 2008,Crewe Alexandra FC,3-4,Southend United FC
7,Sat Sep 20 2008,Hartlepool United FC,3-3,Oldham Athletic AFC
7,Sat Sep 20 2008,Hereford FC (2014-),1-2,Scunthorpe United FC
7,Sat Sep 20 2008,Brighton & Hove Albion FC,0-1,Walsall FC
7,Sat Sep 20 2008,Leyton Orient FC,1-3,Leicester City FC
7,Sat Sep 20 2008,Yeovil Town FC,2-2,Bristol Rovers FC
7,Sat Sep 20 2008,Peterborough United FC,2-2,Tranmere Rovers FC
7,Sat Sep 20 2008,Stockport County FC,1-1,Swindon Town FC
7,Sat Sep 20 2008,Carlisle United FC,0-2,Leeds United FC
7,Sat Sep 20 2008,Millwall FC,2-0,Cheltenham Town FC
8,Fri Sep 26 2008,Southend United FC,3-0,Leyton Orient FC
8,Fri Sep 26 2008,Tranmere Rovers FC,3-4,Colchester United FC
8,Sat Sep 27 2008,Northampton Town FC,2-2,Brighton & Hove Albion FC
8,Sat Sep 27 2008,Scunthorpe United FC,2-0,Yeovil Town FC
8,Sat Sep 27 2008,Walsall FC,2-1,Carlisle United FC
8,Sat Sep 27 2008,Bristol Rovers FC,0-0,Crewe Alexandra FC
8,Sat Sep 27 2008,Leicester City FC,1-0,Hartlepool United FC
8,Sat Sep 27 2008,Oldham Athletic AFC,1-1,Huddersfield Town AFC
8,Sat Sep 27 2008,Cheltenham Town FC,2-2,Stockport County FC
8,Sat Sep 27 2008,Milton Keynes Dons FC,1-2,Peterborough United FC
8,Sat Sep 27 2008,Leeds United FC,1-0,Hereford FC (2014-)
8,Sun Sep 28 2008,Swindon Town FC,1-2,Millwall FC
5,Tue Sep 30 2008,Colchester United FC,0-1,Leicester City FC
9,Fri Oct 3 2008,Stockport County FC,3-1,Oldham Athletic AFC
9,Fri Oct 3 2008,Hartlepool United FC,3-3,Swindon Town FC
9,Sat Oct 4 2008,Huddersfield Town AFC,2-3,Leicester City FC
9,Sat Oct 4 2008,Brighton & Hove Albion FC,3-3,Cheltenham Town FC
9,Sat Oct 4 2008,Colchester United FC,0-1,Bristol Rovers FC
9,Sat Oct 4 2008,Crewe Alexandra FC,1-3,Northampton Town FC
9,Sat Oct 4 2008,Hereford FC (2014-),0-0,Walsall FC
9,Sat Oct 4 2008,Carlisle United FC,1-2,Tranmere Rovers FC
9,Sat Oct 4 2008,Yeovil Town FC,1-2,Southend United FC
9,Sat Oct 4 2008,Peterborough United FC,2-0,Leeds United FC
9,Sat Oct 4 2008,Millwall FC,0-4,Milton Keynes Dons FC
9,Sat Oct 4 2008,Leyton Orient FC,2-2,Scunthorpe United FC
10,Fri Oct 10 2008,Northampton Town FC,1-0,Hartlepool United FC
10,Sat Oct 11 2008,Southend United FC,1-1,Stockport County FC
10,Sat Oct 11 2008,Cheltenham Town FC,4-3,Colchester United FC
10,Sat Oct 11 2008,Milton Keynes Dons FC,3-1,Carlisle United FC
10,Sat Oct 11 2008,Walsall FC,1-2,Peterborough United FC
10,Sat Oct 11 2008,Tranmere Rovers FC,1-3,Millwall FC
10,Sat Oct 11 2008,Swindon Town FC,1-3,Huddersfield Town AFC
10,Sat Oct 11 2008,Bristol Rovers FC,2-1,Leyton Orient FC
10,Sat Oct 11 2008,Scunthorpe United FC,3-0,Crewe Alexandra FC
10,Sat Oct 11 2008,Leeds United FC,3-1,Brighton & Hove Albion FC
10,Sun Oct 12 2008,Oldham Athletic AFC,4-0,Hereford FC (2014-)
11,Sat Oct 18 2008,Leyton Orient FC,0-1,Tranmere Rovers FC
11,Sat Oct 18 2008,Carlisle United FC,3-3,Peterborough United FC
11,Sat Oct 18 2008,Cheltenham Town FC,1-2,Scunthorpe United FC
11,Sat Oct 18 2008,Crewe Alexandra FC,2-2,Milton Keynes Dons FC
11,Sat Oct 18 2008,Huddersfield Town AFC,1-1,Bristol Rovers FC
11,Sat Oct 18 2008,Walsall FC,2-3,Hartlepool United FC
11,Sat Oct 18 2008,Millwall FC,3-1,Leeds United FC
11,Sat Oct 18 2008,Stockport County FC,1-2,Colchester United FC
11,Sat Oct 18 2008,Northampton Town FC,3-0,Yeovil Town FC
11,Sat Oct 18 2008,Oldham Athletic AFC,1-1,Leicester City FC
11,Sat Oct 18 2008,Southend United FC,2-1,Swindon Town FC
11,Sat Oct 18 2008,Brighton & Hove Albion FC,0-0,Hereford FC (2014-)
12,Tue Oct 21 2008,Colchester United FC,1-2,Millwall FC
12,Tue Oct 21 2008,Milton Keynes Dons FC,1-2,Stockport County FC
12,Tue Oct 21 2008,Hartlepool United FC,5-3,Huddersfield Town AFC
12,Tue Oct 21 2008,Hereford FC (2014-),1-0,Carlisle United FC
12,Tue Oct 21 2008,Leeds United FC,2-1,Leyton Orient FC
12,Tue Oct 21 2008,Leicester City FC,2-2,Walsall FC
12,Tue Oct 21 2008,Bristol Rovers FC,2-0,Oldham Athletic AFC
12,Tue Oct 21 2008,Scunthorpe United FC,1-1,Southend United FC
12,Tue Oct 21 2008,Swindon Town FC,2-1,Northampton Town FC
12,Tue Oct 21 2008,Tranmere Rovers FC,2-0,Cheltenham Town FC
12,Tue Oct 21 2008,Yeovil Town FC,3-2,Crewe Alexandra FC
12,Tue Oct 21 2008,Peterborough United FC,0-0,Brighton & Hove Albion FC
13,Fri Oct 24 2008,Tranmere Rovers FC,2-0,Crewe Alexandra FC
13,Sat Oct 25 2008,Scunthorpe United FC,3-2,Millwall FC
13,Sat Oct 25 2008,Leicester City FC,0-0,Northampton Town FC
13,Sat Oct 25 2008,Milton Keynes Dons FC,3-1,Cheltenham Town FC
