Matchday,Date,Team 1,FT,Team 2
1,Sat Aug 8 2015,Wycombe Wanderers FC,3-0,York City FC
1,Sat Aug 8 2015,Stevenage FC,0-2,Notts County FC
1,Sat Aug 8 2015,Portsmouth FC,3-0,Dagenham & Redbridge FC
1,Sat Aug 8 2015,Oxford United FC,1-1,Crawley Town FC
1,Sat Aug 8 2015,Mansfield Town FC,1-1,Carlisle United FC
1,Sat Aug 8 2015,Leyton Orient FC,2-0,Barnet FC
1,Sat Aug 8 2015,Hartlepool United FC,2-0,Morecambe FC
1,Sat Aug 8 2015,Exeter City FC,3-2,Yeovil Town FC
1,Sat Aug 8 2015,Cambridge United FC,3-0,Newport County AFC
1,Sat Aug 8 2015,Bristol Rovers FC,0-1,Northampton Town FC
1,Sat Aug 8 2015,AFC Wimbledon,0-2,Plymouth Argyle FC
1,Sat Aug 8 2015,Accrington Stanley FC,1-1,Luton Town FC
2,Fri Aug 14 2015,Notts County FC,0-2,Mansfield Town FC
2,Sat Aug 15 2015,Newport County AFC,2-2,Stevenage FC
2,Sat Aug 15 2015,Yeovil Town FC,0-1,Bristol Rovers FC
2,Sat Aug 15 2015,Plymouth Argyle FC,1-2,Portsmouth FC
2,Sat Aug 15 2015,Northampton Town FC,3-0,Exeter City FC
2,Sat Aug 15 2015,Barnet FC,0-2,Wycombe Wanderers FC
2,Sat Aug 15 2015,Morecambe FC,1-0,Accrington Stanley FC
2,Sat Aug 15 2015,Luton Town FC,2-2,Oxford United FC
2,Sat Aug 15 2015,Dagenham & Redbridge FC,1-3,Leyton Orient FC
2,Sat Aug 15 2015,Crawley Town FC,1-2,AFC Wimbledon
2,Sat Aug 15 2015,Carlisle United FC,4-4,Cambridge United FC
2,Sat Aug 15 2015,York City FC,1-2,Hartlepool United FC
3,Tue Aug 18 2015,York City FC,1-0,Yeovil Town FC
3,Tue Aug 18 2015,Plymouth Argyle FC,4-1,Carlisle United FC
3,Tue Aug 18 2015,Oxford United FC,3-1,Notts County FC
3,Tue Aug 18 2015,Morecambe FC,0-1,Wycombe Wanderers FC
3,Tue Aug 18 2015,Luton Town FC,0-1,Bristol Rovers FC
3,Tue Aug 18 2015,Leyton Orient FC,3-0,Stevenage FC
3,Tue Aug 18 2015,Hartlepool United FC,1-0,Newport County AFC
3,Tue Aug 18 2015,Dagenham & Redbridge FC,1-2,Exeter City FC
3,Tue Aug 18 2015,Crawley Town FC,0-0,Portsmouth FC
3,Tue Aug 18 2015,Barnet FC,2-0,Northampton Town FC
3,Tue Aug 18 2015,AFC Wimbledon,1-2,Cambridge United FC
3,Tue Aug 18 2015,Accrington Stanley FC,1-0,Mansfield Town FC
4,Sat Aug 22 2015,Yeovil Town FC,3-2,Luton Town FC
4,Sat Aug 22 2015,Wycombe Wanderers FC,1-1,Dagenham & Redbridge FC
4,Sat Aug 22 2015,Stevenage FC,2-0,Hartlepool United FC
4,Sat Aug 22 2015,Portsmouth FC,3-3,Morecambe FC
4,Sat Aug 22 2015,Notts County FC,1-1,Accrington Stanley FC
4,Sat Aug 22 2015,Northampton Town FC,0-2,Plymouth Argyle FC
4,Sat Aug 22 2015,Newport County AFC,2-3,Leyton Orient FC
4,Sat Aug 22 2015,Mansfield Town FC,1-1,Oxford United FC
4,Sat Aug 22 2015,Exeter City FC,0-0,York City FC
4,Sat Aug 22 2015,Carlisle United FC,1-1,AFC Wimbledon
4,Sat Aug 22 2015,Cambridge United FC,0-3,Crawley Town FC
4,Sat Aug 22 2015,Bristol Rovers FC,3-1,Barnet FC
5,Sat Aug 29 2015,York City FC,1-2,Mansfield Town FC
5,Sat Aug 29 2015,Plymouth Argyle FC,1-0,Newport County AFC
5,Sat Aug 29 2015,Oxford United FC,2-0,Yeovil Town FC
5,Sat Aug 29 2015,Morecambe FC,4-1,Notts County FC
5,Sat Aug 29 2015,Luton Town FC,1-2,Portsmouth FC
5,Sat Aug 29 2015,Leyton Orient FC,2-0,Bristol Rovers FC
5,Sat Aug 29 2015,Hartlepool United FC,2-3,Carlisle United FC
