Date,Team 1,Team 2,FT,HT
2013-08-10,Barnet,Chester,3-0,0-0
2013-08-10,Dartford,Alfreton Town,1-0,1-0
2013-08-10,Forest Green,Hyde United,8-0,4-0
2013-08-10,Grimsby,Aldershot,1-1,0-0
2013-08-10,Hereford,Braintree Town,1-1,0-1
2013-08-10,Kidderminster,Gateshead,3-1,1-1
2013-08-10,Macclesfield,Nuneaton Town,0-1,0-1
2013-08-10,Salisbury,Tamworth,0-1,0-1
2013-08-10,Southport,Luton,1-0,1-0
2013-08-10,Woking,Lincoln,0-0,0-0
2013-08-10,Wrexham,Welling United,2-1,1-1
2013-08-11,Cambridge,Halifax,5-1,2-1
2013-08-13,Aldershot,Dartford,3-0,1-0
2013-08-13,Alfreton Town,Kidderminster,3-1,1-0
2013-08-13,Braintree Town,Woking,2-0,2-0
2013-08-13,Chester,Hereford,0-2,0-1
2013-08-13,Gateshead,Grimsby,1-2,1-1
2013-08-13,Halifax,Wrexham,3-2,3-1
2013-08-13,Hyde United,Southport,1-2,1-0
2013-08-13,Lincoln,Macclesfield,1-0,1-0
2013-08-13,Luton,Salisbury,2-0,0-0
2013-08-13,Nuneaton Town,Forest Green,1-1,1-0
2013-08-13,Tamworth,Barnet,0-0,0-0
2013-08-14,Welling United,Cambridge,2-2,2-1
2013-08-17,Aldershot,Cambridge,0-1,0-1
2013-08-17,Alfreton Town,Salisbury,3-2,1-1
2013-08-17,Braintree Town,Kidderminster,0-1,0-0
2013-08-17,Chester,Woking,0-2,0-0
2013-08-17,Gateshead,Barnet,1-2,1-1
2013-08-17,Halifax,Dartford,2-0,0-0
2013-08-17,Hyde United,Hereford,2-2,2-1
2013-08-17,Lincoln,Forest Green,2-1,1-1
2013-08-17,Luton,Macclesfield,1-1,0-0
2013-08-17,Nuneaton Town,Southport,3-1,2-1
2013-08-17,Tamworth,Wrexham,2-2,1-1
2013-08-17,Welling United,Grimsby,1-0,0-0
2013-08-24,Barnet,Nuneaton Town,1-1,1-1
2013-08-24,Cambridge,Lincoln,1-0,1-0
2013-08-24,Dartford,Braintree Town,0-2,0-0
2013-08-24,Forest Green,Luton,0-0,0-0
2013-08-24,Grimsby,Alfreton Town,3-1,2-0
2013-08-24,Hereford,Tamworth,1-0,0-0
2013-08-24,Kidderminster,Chester,3-1,2-1
2013-08-24,Macclesfield,Halifax,2-2,1-2
2013-08-24,Salisbury,Aldershot,1-0,0-0
2013-08-24,Southport,Gateshead,2-1,2-0
2013-08-24,Woking,Welling United,2-4,1-3
2013-08-24,Wrexham,Hyde United,2-2,2-1
2013-08-26,Aldershot,Woking,2-1,2-0
2013-08-26,Alfreton Town,Hereford,2-1,1-1
2013-08-26,Braintree Town,Barnet,0-3,0-0
2013-08-26,Chester,Forest Green,1-2,0-1
2013-08-26,Gateshead,Macclesfield,2-2,0-2
2013-08-26,Halifax,Southport,1-0,0-0
2013-08-26,Hyde United,Grimsby,0-1,0-0
2013-08-26,Lincoln,Wrexham,2-0,1-0
2013-08-26,Luton,Cambridge,0-0,0-0
2013-08-26,Nuneaton Town,Kidderminster,2-1,0-1
2013-08-26,Tamworth,Dartford,0-2,0-2
2013-08-26,Welling United,Salisbury,0-0,0-0
2013-08-31,Barnet,Hyde United,3-2,2-0
2013-08-31,Cambridge,Tamworth,3-0,1-0
2013-08-31,Dartford,Lincoln,1-2,0-2
2013-08-31,Forest Green,Alfreton Town,3-1,3-0
2013-08-31,Grimsby,Nuneaton Town,1-2,0-2
2013-08-31,Hereford,Welling United,2-1,0-0
2013-08-31,Kidderminster,Luton,0-2,0-0
2013-08-31,Macclesfield,Braintree Town,0-1,0-0
2013-08-31,Salisbury,Halifax,3-1,1-0
2013-08-31,Southport,Aldershot,1-0,1-0
2013-08-31,Woking,Gateshead,1-2,0-2
2013-08-31,Wrexham,Chester,0-2,0-2
2013-09-07,Aldershot,Macclesfield,1-0,0-0
2013-09-07,Alfreton Town,Woking,3-1,2-1
2013-09-07,Braintree Town,Forest Green,1-1,1-1
2013-09-07,Chester,Dartford,0-0,0-0
2013-09-07,Gateshead,Hereford,2-1,2-0
2013-09-07,Halifax,Barnet,2-1,1-0
2013-09-07,Hyde United,Cambridge,0-1,0-1
2013-09-07,Lincoln,Salisbury,0-1,0-1
2013-09-07,Luton,Grimsby,0-0,0-0
2013-09-07,Nuneaton Town,Wrexham,2-0,0-0
