Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 23 Dec 1967 (51),AFC Bournemouth (1),3-0,?,Barrow AFC (1)
?,(Fri) 12 Apr 1968 (15),AFC Bournemouth (2),2-2,?,Brighton & Hove Albion (1)
?,(Sat) 19 Aug 1967 (33),AFC Bournemouth (3),3-1,?,Bristol Rovers (1)
?,(Sat) 13 Jan 1968 (2),AFC Bournemouth (4),1-0,?,Bury FC (1)
?,(Sat) 23 Sep 1967 (38),AFC Bournemouth (5),1-2,?,Colchester United (1)
?,(Sat) 6 Apr 1968 (14),AFC Bournemouth (6),4-0,?,Gillingham FC (1)
?,(Sat) 4 Nov 1967 (44),AFC Bournemouth (7),1-0,?,Grimsby Town (1)
?,(Sat) 2 Dec 1967 (48),AFC Bournemouth (8),0-0,?,Leyton Orient FC (1)
?,(Sat) 11 May 1968 (19),AFC Bournemouth (9),3-0,?,Mansfield Town (1)
?,(Sat) 20 Apr 1968 (16),AFC Bournemouth (10),0-2,?,Northampton Town (1)
?,(Sat) 9 Mar 1968 (10),AFC Bournemouth (11),0-0,?,Oldham Athletic (1)
?,(Sat) 2 Sep 1967 (35),AFC Bournemouth (12),2-1,?,Oxford United (1)
?,(Sat) 10 Feb 1968 (6),AFC Bournemouth (13),3-3,?,Peterborough United (1)
?,(Sat) 21 Oct 1967 (42),AFC Bournemouth (14),2-0,?,Reading FC (1)
?,(Mon) 4 Sep 1967 (36),AFC Bournemouth (15),1-0,?,Scunthorpe United (1)
?,(Sat) 7 Oct 1967 (40),AFC Bournemouth (16),1-1,?,Shrewsbury Town (1)
?,(Wed) 4 Oct 1967 (40),AFC Bournemouth (17),4-1,?,Southport FC (1)
?,(Sat) 20 Jan 1968 (3),AFC Bournemouth (18),1-0,?,Stockport County (1)
?,(Sat) 2 Mar 1968 (9),AFC Bournemouth (19),2-1,?,Swindon Town (1)
?,(Sat) 23 Mar 1968 (12),AFC Bournemouth (20),1-1,?,Torquay United (1)
?,(Sat) 4 May 1968 (18),AFC Bournemouth (21),3-0,?,Tranmere Rovers (1)
