Round,Date,Team 1,FT,Team 2
1,Sat Sep 12 2020,Accrington Stanley FC,2-0,Peterborough United FC
1,Sat Sep 12 2020,Crewe Alexandra FC,0-2,Charlton Athletic FC
1,Sat Sep 12 2020,Doncaster Rovers FC,1-1,Milton Keynes Dons FC
1,Sat Sep 12 2020,Fleetwood Town FC,2-1,Burton Albion FC
1,Sat Sep 12 2020,Gillingham FC,0-2,Hull City AFC
1,Sat Sep 12 2020,Lincoln City FC,2-0,Oxford United FC
1,Sat Sep 12 2020,Northampton Town FC,2-2,AFC Wimbledon
1,Sat Sep 12 2020,Plymouth Argyle FC,1-0,Blackpool FC
1,Sat Sep 12 2020,Portsmouth FC,0-0,Shrewsbury Town FC
1,Sat Sep 12 2020,Sunderland AFC,1-1,Bristol Rovers FC
1,Sat Sep 12 2020,Swindon Town FC,3-1,Rochdale AFC
1,Sun Sep 13 2020,Ipswich Town FC,2-0,Wigan Athletic FC
2,Sat Sep 19 2020,AFC Wimbledon,4-4,Plymouth Argyle FC
2,Sat Sep 19 2020,Blackpool FC,2-0,Swindon Town FC
2,Sat Sep 19 2020,Bristol Rovers FC,0-2,Ipswich Town FC
2,Sat Sep 19 2020,Burton Albion FC,2-1,Accrington Stanley FC
2,Sat Sep 19 2020,Charlton Athletic FC,1-3,Doncaster Rovers FC
2,Sat Sep 19 2020,Wigan Athletic FC,2-3,Gillingham FC
2,Sat Sep 19 2020,Milton Keynes Dons FC,1-2,Lincoln City FC
2,Sat Sep 19 2020,Oxford United FC,0-2,Sunderland AFC
2,Sat Sep 19 2020,Peterborough United FC,2-1,Fleetwood Town FC
2,Sat Sep 19 2020,Shrewsbury Town FC,1-2,Northampton Town FC
2,Sat Sep 19 2020,Hull City AFC,1-0,Crewe Alexandra FC
2,Sun Sep 20 2020,Rochdale AFC,0-0,Portsmouth FC
3,Sat Sep 26 2020,Gillingham FC,2-0,Blackpool FC
3,Sat Sep 26 2020,Crewe Alexandra FC,2-0,Milton Keynes Dons FC
3,Sat Sep 26 2020,Doncaster Rovers FC,4-1,Bristol Rovers FC
3,Sat Sep 26 2020,Fleetwood Town FC,0-1,AFC Wimbledon
3,Sat Sep 26 2020,Accrington Stanley FC,1-4,Oxford United FC
3,Sat Sep 26 2020,Ipswich Town FC,2-0,Rochdale AFC
3,Sat Sep 26 2020,Northampton Town FC,0-2,Hull City AFC
3,Sat Sep 26 2020,Plymouth Argyle FC,1-1,Shrewsbury Town FC
3,Sat Sep 26 2020,Portsmouth FC,1-2,Wigan Athletic FC
3,Sat Sep 26 2020,Sunderland AFC,1-0,Peterborough United FC
3,Sat Sep 26 2020,Swindon Town FC,4-2,Burton Albion FC
3,Sun Sep 27 2020,Lincoln City FC,2-0,Charlton Athletic FC
4,Sat Oct 3 2020,AFC Wimbledon,1-2,Accrington Stanley FC
4,Sat Oct 3 2020,Blackpool FC,2-3,Lincoln City FC
4,Sat Oct 3 2020,Bristol Rovers FC,2-0,Northampton Town FC
4,Sat Oct 3 2020,Shrewsbury Town FC,1-1,Gillingham FC
4,Sat Oct 3 2020,Charlton Athletic FC,0-0,Sunderland AFC
4,Sat Oct 3 2020,Hull City AFC,1-0,Plymouth Argyle FC
4,Sat Oct 3 2020,Milton Keynes Dons FC,1-1,Ipswich Town FC
4,Sat Oct 3 2020,Peterborough United FC,3-1,Swindon Town FC
4,Sat Oct 3 2020,Rochdale AFC,2-1,Fleetwood Town FC
4,Sat Oct 3 2020,Wigan Athletic FC,1-0,Doncaster Rovers FC
4,Sat Oct 3 2020,Burton Albion FC,2-4,Portsmouth FC
5,Fri Oct 9 2020,Fleetwood Town FC,4-1,Hull City AFC
5,Sat Oct 10 2020,Gillingham FC,3-1,Oxford United FC
12,Sat Oct 10 2020,Blackpool FC,1-4,Ipswich Town FC
5,Sat Oct 10 2020,Accrington Stanley FC,2-1,Rochdale AFC
5,Sat Oct 10 2020,Swindon Town FC,0-1,AFC Wimbledon
5,Sat Oct 10 2020,Crewe Alexandra FC,3-0,Wigan Athletic FC
5,Sat Oct 10 2020,Northampton Town FC,0-2,Peterborough United FC
5,Sat Oct 10 2020,Plymouth Argyle FC,2-0,Burton Albion FC
5,Sat Oct 10 2020,Portsmouth FC,2-1,Milton Keynes Dons FC
5,Sat Oct 10 2020,Lincoln City FC,1-2,Bristol Rovers FC
6,Sat Oct 17 2020,Milton Keynes Dons FC,2-0,Gillingham FC
6,Sat Oct 17 2020,Swindon Town FC,0-2,Sunderland AFC
6,Sat Oct 17 2020,Plymouth Argyle FC,2-1,Northampton Town FC
6,Sat Oct 17 2020,Rochdale AFC,0-3,Hull City AFC
6,Sat Oct 17 2020,AFC Wimbledon,0-1,Shrewsbury Town FC
6,Sat Oct 17 2020,Portsmouth FC,0-1,Doncaster Rovers FC
6,Sat Oct 17 2020,Charlton Athletic FC,1-0,Wigan Athletic FC
6,Sat Oct 17 2020,Crewe Alexandra FC,1-1,Blackpool FC
6,Sat Oct 17 2020,Fleetwood Town FC,0-0,Lincoln City FC
6,Sat Oct 17 2020,Ipswich Town FC,2-0,Accrington Stanley FC
6,Sat Oct 17 2020,Peterborough United FC,2-0,Oxford United FC
6,Sat Oct 17 2020,Bristol Rovers FC,1-1,Burton Albion FC
7,Tue Oct 20 2020,Shrewsbury Town FC,0-1,Bristol Rovers FC
7,Tue Oct 20 2020,Gillingham FC,0-2,Portsmouth FC
7,Tue Oct 20 2020,Doncaster Rovers FC,4-1,Ipswich Town FC
7,Tue Oct 20 2020,Wigan Athletic FC,0-1,Peterborough United FC
7,Tue Oct 20 2020,Sunderland AFC,1-0,Crewe Alexandra FC
7,Tue Oct 20 2020,Accrington Stanley FC,1-0,Fleetwood Town FC
7,Tue Oct 20 2020,Blackpool FC,0-1,Charlton Athletic FC
7,Tue Oct 20 2020,Oxford United FC,3-2,Milton Keynes Dons FC
7,Tue Oct 20 2020,Lincoln City FC,2-0,Plymouth Argyle FC
7,Tue Oct 20 2020,Hull City AFC,1-0,AFC Wimbledon
7,Tue Oct 20 2020,Burton Albion FC,0-1,Rochdale AFC
7,Tue Oct 20 2020,Northampton Town FC,2-1,Swindon Town FC
8,Sat Oct 24 2020,Oxford United FC,,Swindon Town FC
8,Sat Oct 24 2020,Sunderland AFC,1-3,Portsmouth FC
8,Sat Oct 24 2020,Wigan Athletic FC,1-1,Plymouth Argyle FC
8,Sat Oct 24 2020,Accrington Stanley FC,,Bristol Rovers FC
8,Sat Oct 24 2020,Gillingham FC,0-2,Fleetwood Town FC
8,Sat Oct 24 2020,Shrewsbury Town FC,1-2,Rochdale AFC
8,Sat Oct 24 2020,Blackpool FC,1-0,Milton Keynes Dons FC
8,Sat Oct 24 2020,Burton Albion FC,1-1,AFC Wimbledon
8,Sat Oct 24 2020,Northampton Town FC,0-2,Charlton Athletic FC
8,Sat Oct 24 2020,Hull City AFC,1-2,Peterborough United FC
8,Sat Oct 24 2020,Lincoln City FC,1-0,Ipswich Town FC
8,Sat Oct 24 2020,Doncaster Rovers FC,1-2,Crewe Alexandra FC
9,Tue Oct 27 2020,Crewe Alexandra FC,0-1,Lincoln City FC
9,Tue Oct 27 2020,Swindon Town FC,,Accrington Stanley FC
9,Tue Oct 27 2020,Peterborough United FC,2-2,Burton Albion FC
9,Tue Oct 27 2020,AFC Wimbledon,1-0,Blackpool FC
9,Tue Oct 27 2020,Ipswich Town FC,1-0,Gillingham FC
9,Tue Oct 27 2020,Charlton Athletic FC,2-0,Oxford United FC
9,Tue Oct 27 2020,Milton Keynes Dons FC,2-0,Wigan Athletic FC
