Round,Date,Team 1,FT,Team 2
1,Sat Aug 3 2019,Salford City FC,2-0,Stevenage FC
1,Sat Aug 3 2019,Bradford City AFC,0-0,Cambridge United FC
1,Sat Aug 3 2019,Carlisle United FC,2-1,Crawley Town FC
1,Sat Aug 3 2019,Colchester United FC,1-1,Port Vale FC
1,Sat Aug 3 2019,Crewe Alexandra FC,0-3,Plymouth Argyle FC
1,Sat Aug 3 2019,Exeter City FC,1-0,Macclesfield Town FC
1,Sat Aug 3 2019,Forest Green Rovers FC,1-0,Oldham Athletic AFC
1,Sat Aug 3 2019,Leyton Orient FC,1-0,Cheltenham Town FC
1,Sat Aug 3 2019,Morecambe FC,0-2,Grimsby Town FC
1,Sat Aug 3 2019,Newport County AFC,2-2,Mansfield Town FC
1,Sat Aug 3 2019,Northampton Town FC,0-1,Walsall FC
1,Sat Aug 3 2019,Scunthorpe United FC,0-2,Swindon Town FC
2,Sat Aug 10 2019,Grimsby Town FC,1-1,Bradford City AFC
2,Sat Aug 10 2019,Cambridge United FC,0-0,Newport County AFC
2,Sat Aug 10 2019,Cheltenham Town FC,4-1,Scunthorpe United FC
2,Sat Aug 10 2019,Crawley Town FC,2-0,Salford City FC
2,Sat Aug 10 2019,Macclesfield Town FC,3-0,Leyton Orient FC
2,Sat Aug 10 2019,Mansfield Town FC,2-2,Morecambe FC
2,Sat Aug 10 2019,Oldham Athletic AFC,1-2,Crewe Alexandra FC
2,Sat Aug 10 2019,Plymouth Argyle FC,1-0,Colchester United FC
2,Sat Aug 10 2019,Port Vale FC,1-1,Northampton Town FC
2,Sat Aug 10 2019,Stevenage FC,0-1,Exeter City FC
2,Sat Aug 10 2019,Swindon Town FC,3-2,Carlisle United FC
2,Sat Aug 10 2019,Walsall FC,1-1,Forest Green Rovers FC
3,Sat Aug 17 2019,Bradford City AFC,3-0,Oldham Athletic AFC
3,Sat Aug 17 2019,Carlisle United FC,0-2,Mansfield Town FC
3,Sat Aug 17 2019,Colchester United FC,1-2,Cambridge United FC
3,Sat Aug 17 2019,Crewe Alexandra FC,1-0,Walsall FC
3,Sat Aug 17 2019,Exeter City FC,1-1,Swindon Town FC
3,Sat Aug 17 2019,Forest Green Rovers FC,1-0,Grimsby Town FC
3,Sat Aug 17 2019,Leyton Orient FC,0-0,Stevenage FC
3,Sat Aug 17 2019,Morecambe FC,0-0,Cheltenham Town FC
3,Sat Aug 17 2019,Newport County AFC,1-0,Plymouth Argyle FC
3,Sat Aug 17 2019,Northampton Town FC,1-2,Macclesfield Town FC
3,Sat Aug 17 2019,Salford City FC,1-1,Port Vale FC
3,Sat Aug 17 2019,Scunthorpe United FC,2-2,Crawley Town FC
4,Tue Aug 20 2019,Cambridge United FC,3-2,Scunthorpe United FC
4,Tue Aug 20 2019,Cheltenham Town FC,2-0,Carlisle United FC
4,Tue Aug 20 2019,Crawley Town FC,1-2,Crewe Alexandra FC
4,Tue Aug 20 2019,Grimsby Town FC,2-2,Colchester United FC
4,Tue Aug 20 2019,Macclesfield Town FC,0-1,Morecambe FC
4,Tue Aug 20 2019,Mansfield Town FC,2-3,Leyton Orient FC
4,Tue Aug 20 2019,Oldham Athletic AFC,0-0,Exeter City FC
4,Tue Aug 20 2019,Plymouth Argyle FC,2-2,Salford City FC
4,Tue Aug 20 2019,Port Vale FC,2-1,Forest Green Rovers FC
4,Tue Aug 20 2019,Stevenage FC,0-1,Bradford City AFC
4,Tue Aug 20 2019,Swindon Town FC,0-1,Northampton Town FC
4,Tue Aug 20 2019,Walsall FC,0-0,Newport County AFC
5,Sat Aug 24 2019,Bradford City AFC,0-1,Forest Green Rovers FC
5,Sat Aug 24 2019,Cambridge United FC,1-2,Oldham Athletic AFC
5,Sat Aug 24 2019,Carlisle United FC,2-2,Salford City FC
5,Sat Aug 24 2019,Cheltenham Town FC,2-2,Swindon Town FC
5,Sat Aug 24 2019,Colchester United FC,1-0,Northampton Town FC
5,Sat Aug 24 2019,Grimsby Town FC,5-2,Port Vale FC
5,Sat Aug 24 2019,Leyton Orient FC,2-3,Crawley Town FC
5,Sat Aug 24 2019,Macclesfield Town FC,1-0,Scunthorpe United FC
5,Sat Aug 24 2019,Mansfield Town FC,0-0,Stevenage FC
5,Sat Aug 24 2019,Morecambe FC,2-3,Exeter City FC
5,Sat Aug 24 2019,Newport County AFC,1-0,Crewe Alexandra FC
5,Sat Aug 24 2019,Plymouth Argyle FC,3-0,Walsall FC
6,Sat Aug 31 2019,Crawley Town FC,1-0,Cheltenham Town FC
6,Sat Aug 31 2019,Crewe Alexandra FC,2-1,Bradford City AFC
6,Sat Aug 31 2019,Exeter City FC,1-0,Mansfield Town FC
