Round,Date,Team 1,FT,Team 2
1,Sat Aug 3 2019,AFC Wimbledon,1-2,Rotherham United FC
1,Sat Aug 3 2019,Blackpool FC,2-0,Bristol Rovers FC
1,Sat Aug 3 2019,Burton Albion FC,0-1,Ipswich Town FC
1,Sat Aug 3 2019,Coventry City FC,1-0,Southend United FC
1,Sat Aug 3 2019,Doncaster Rovers FC,1-1,Gillingham FC
1,Sat Aug 3 2019,Lincoln City FC,2-0,Accrington Stanley FC
1,Sat Aug 3 2019,Peterborough United FC,1-3,Fleetwood Town FC
1,Sat Aug 3 2019,Shrewsbury Town FC,1-0,Portsmouth FC
1,Sat Aug 3 2019,Sunderland AFC,1-1,Oxford United FC
1,Sat Aug 3 2019,Tranmere Rovers FC,2-3,Rochdale AFC
1,Sat Aug 3 2019,Wycombe Wanderers FC,2-0,Bolton Wanderers FC
2,Sat Aug 10 2019,Bolton Wanderers FC,0-0,Coventry City FC
2,Sat Aug 10 2019,Bristol Rovers FC,0-0,Wycombe Wanderers FC
2,Sat Aug 10 2019,Fleetwood Town FC,2-1,AFC Wimbledon
2,Sat Aug 10 2019,Gillingham FC,1-2,Burton Albion FC
2,Sat Aug 10 2019,Ipswich Town FC,1-1,Sunderland AFC
2,Sat Aug 10 2019,Southend United FC,1-3,Blackpool FC
2,Sat Aug 10 2019,Oxford United FC,1-0,Peterborough United FC
2,Sat Aug 10 2019,Portsmouth FC,2-0,Tranmere Rovers FC
2,Sat Aug 10 2019,Rochdale AFC,1-1,Doncaster Rovers FC
2,Sat Aug 10 2019,Rotherham United FC,0-2,Lincoln City FC
2,Sat Aug 10 2019,Milton Keynes Dons FC,1-0,Shrewsbury Town FC
3,Sat Aug 17 2019,Sunderland AFC,2-1,Portsmouth FC
3,Sat Aug 17 2019,AFC Wimbledon,1-1,Accrington Stanley FC
3,Sat Aug 17 2019,Blackpool FC,2-1,Oxford United FC
3,Sat Aug 17 2019,Burton Albion FC,0-1,Rotherham United FC
3,Sat Aug 17 2019,Coventry City FC,2-0,Bristol Rovers FC
3,Sat Aug 17 2019,Doncaster Rovers FC,3-2,Fleetwood Town FC
3,Sat Aug 17 2019,Lincoln City FC,4-0,Southend United FC
3,Sat Aug 17 2019,Peterborough United FC,2-2,Ipswich Town FC
3,Sat Aug 17 2019,Shrewsbury Town FC,0-0,Rochdale AFC
3,Sat Aug 17 2019,Wycombe Wanderers FC,3-2,Milton Keynes Dons FC
3,Sat Aug 17 2019,Tranmere Rovers FC,5-0,Bolton Wanderers FC
4,Tue Aug 20 2019,Accrington Stanley FC,2-3,Shrewsbury Town FC
4,Tue Aug 20 2019,Bristol Rovers FC,2-0,Tranmere Rovers FC
4,Tue Aug 20 2019,Southend United FC,0-2,Peterborough United FC
4,Tue Aug 20 2019,Gillingham FC,2-2,Blackpool FC
4,Tue Aug 20 2019,Ipswich Town FC,2-1,AFC Wimbledon
4,Tue Aug 20 2019,Milton Keynes Dons FC,2-1,Lincoln City FC
4,Tue Aug 20 2019,Oxford United FC,2-4,Burton Albion FC
4,Tue Aug 20 2019,Portsmouth FC,3-3,Coventry City FC
4,Tue Aug 20 2019,Rochdale AFC,1-2,Sunderland AFC
4,Tue Aug 20 2019,Fleetwood Town FC,1-1,Wycombe Wanderers FC
5,Sat Aug 24 2019,Wycombe Wanderers FC,4-3,Southend United FC
5,Sat Aug 24 2019,Doncaster Rovers FC,2-1,Lincoln City FC
5,Sat Aug 24 2019,Bolton Wanderers FC,0-5,Ipswich Town FC
5,Sat Aug 24 2019,Bristol Rovers FC,3-1,Oxford United FC
5,Sat Aug 24 2019,Coventry City FC,1-0,Gillingham FC
5,Sat Aug 24 2019,Sunderland AFC,3-1,AFC Wimbledon
5,Sat Aug 24 2019,Milton Keynes Dons FC,0-4,Peterborough United FC
5,Sat Aug 24 2019,Rochdale AFC,0-0,Blackpool FC
5,Sat Aug 24 2019,Shrewsbury Town FC,0-0,Burton Albion FC
5,Sat Aug 24 2019,Fleetwood Town FC,2-0,Accrington Stanley FC
6,Sat Aug 31 2019,Southend United FC,0-3,Rochdale AFC
6,Sat Aug 31 2019,Rotherham United FC,1-1,Tranmere Rovers FC
6,Sat Aug 31 2019,AFC Wimbledon,0-0,Wycombe Wanderers FC
6,Sat Aug 31 2019,Oxford United FC,3-3,Coventry City FC
6,Sat Aug 31 2019,Blackpool FC,1-1,Portsmouth FC
6,Sat Aug 31 2019,Burton Albion FC,2-0,Bristol Rovers FC
6,Sat Aug 31 2019,Gillingham FC,5-0,Bolton Wanderers FC
6,Sat Aug 31 2019,Ipswich Town FC,3-0,Shrewsbury Town FC
6,Sat Aug 31 2019,Lincoln City FC,2-0,Fleetwood Town FC
6,Sat Aug 31 2019,Peterborough United FC,3-0,Sunderland AFC
6,Sat Aug 31 2019,Accrington Stanley FC,2-1,Milton Keynes Dons FC
7,Sat Sep 7 2019,Milton Keynes Dons FC,2-1,AFC Wimbledon
7,Sat Sep 7 2019,Wycombe Wanderers FC,3-1,Lincoln City FC
7,Sat Sep 7 2019,Fleetwood Town FC,2-1,Oxford United FC
7,Sat Sep 7 2019,Doncaster Rovers FC,2-1,Rotherham United FC
7,Sat Sep 7 2019,Bristol Rovers FC,3-3,Accrington Stanley FC
7,Sat Sep 7 2019,Coventry City FC,3-2,Blackpool FC
7,Sat Sep 7 2019,Tranmere Rovers FC,2-2,Gillingham FC
8,Sat Sep 14 2019,Rotherham United FC,6-1,Bolton Wanderers FC
8,Sat Sep 14 2019,Southend United FC,3-3,Fleetwood Town FC
8,Sat Sep 14 2019,Accrington Stanley FC,1-3,Sunderland AFC
8,Sat Sep 14 2019,Peterborough United FC,6-0,Rochdale AFC
8,Sat Sep 14 2019,Oxford United FC,3-0,Tranmere Rovers FC
8,Sat Sep 14 2019,Lincoln City FC,0-1,Bristol Rovers FC
8,Sat Sep 14 2019,AFC Wimbledon,1-1,Shrewsbury Town FC
8,Sat Sep 14 2019,Ipswich Town FC,0-0,Doncaster Rovers FC
8,Sat Sep 14 2019,Blackpool FC,0-3,Milton Keynes Dons FC
8,Sat Sep 14 2019,Burton Albion FC,0-0,Coventry City FC
8,Sat Sep 14 2019,Gillingham FC,2-0,Wycombe Wanderers FC
9,Tue Sep 17 2019,Shrewsbury Town FC,4-3,Southend United FC
9,Tue Sep 17 2019,Rochdale AFC,1-1,Lincoln City FC
9,Tue Sep 17 2019,Sunderland AFC,1-1,Rotherham United FC
9,Tue Sep 17 2019,Tranmere Rovers FC,2-2,Peterborough United FC
9,Tue Sep 17 2019,Wycombe Wanderers FC,1-1,Accrington Stanley FC
9,Tue Sep 17 2019,Coventry City FC,2-1,AFC Wimbledon
9,Tue Sep 17 2019,Bristol Rovers FC,1-1,Gillingham FC
9,Tue Sep 17 2019,Portsmouth FC,2-2,Burton Albion FC
9,Tue Sep 17 2019,Doncaster Rovers FC,0-1,Blackpool FC
9,Tue Sep 17 2019,Milton Keynes Dons FC,0-1,Ipswich Town FC
9,Tue Sep 17 2019,Bolton Wanderers FC,0-0,Oxford United FC
10,Sat Sep 21 2019,Gillingham FC,0-1,Ipswich Town FC
10,Sat Sep 21 2019,Lincoln City FC,0-6,Oxford United FC
10,Sat Sep 21 2019,Wycombe Wanderers FC,1-0,Portsmouth FC
10,Sat Sep 21 2019,Tranmere Rovers FC,2-1,Burton Albion FC
10,Sat Sep 21 2019,Rotherham United FC,0-0,Shrewsbury Town FC
10,Sat Sep 21 2019,Milton Keynes Dons FC,0-1,Southend United FC
10,Sat Sep 21 2019,Fleetwood Town FC,2-1,Rochdale AFC
10,Sat Sep 21 2019,Accrington Stanley FC,1-1,Blackpool FC
10,Sat Sep 21 2019,AFC Wimbledon,1-3,Bristol Rovers FC
10,Sat Sep 21 2019,Doncaster Rovers FC,2-0,Peterborough United FC
10,Sat Sep 21 2019,Bolton Wanderers FC,1-1,Sunderland AFC
11,Fri Sep 27 2019,Blackpool FC,2-1,Lincoln City FC
11,Sat Sep 28 2019,Portsmouth FC,1-0,Bolton Wanderers FC
11,Sat Sep 28 2019,Sunderland AFC,2-1,Milton Keynes Dons FC
11,Sat Sep 28 2019,Southend United FC,0-1,Accrington Stanley FC
11,Sat Sep 28 2019,Shrewsbury Town FC,0-3,Fleetwood Town FC
11,Sat Sep 28 2019,Rochdale AFC,0-3,Wycombe Wanderers FC
11,Sat Sep 28 2019,Peterborough United FC,3-2,AFC Wimbledon
11,Sat Sep 28 2019,Bristol Rovers FC,1-0,Rotherham United FC
11,Sat Sep 28 2019,Coventry City FC,1-1,Doncaster Rovers FC
11,Sat Sep 28 2019,Ipswich Town FC,4-1,Tranmere Rovers FC
11,Sat Sep 28 2019,Oxford United FC,3-0,Gillingham FC
12,Sat Oct 5 2019,Tranmere Rovers FC,0-1,Shrewsbury Town FC
12,Sat Oct 5 2019,Gillingham FC,3-1,Southend United FC
12,Sat Oct 5 2019,Lincoln City FC,2-0,Sunderland AFC
12,Sat Oct 5 2019,Milton Keynes Dons FC,0-3,Burton Albion FC
12,Sat Oct 5 2019,Rotherham United FC,4-0,Coventry City FC
12,Sat Oct 5 2019,Wycombe Wanderers FC,3-3,Peterborough United FC
12,Sat Oct 5 2019,AFC Wimbledon,3-2,Rochdale AFC
12,Sat Oct 5 2019,Accrington Stanley FC,2-2,Oxford United FC
12,Sat Oct 5 2019,Doncaster Rovers FC,1-2,Portsmouth FC
12,Sat Oct 5 2019,Fleetwood Town FC,0-1,Ipswich Town FC
12,Mon Oct 7 2019,Bolton Wanderers FC,0-0,Blackpool FC
13,Sat Oct 12 2019,Peterborough United FC,2-0,Lincoln City FC
13,Sat Oct 12 2019,Portsmouth FC,0-0,Gillingham FC
13,Sat Oct 12 2019,Southend United FC,1-4,AFC Wimbledon
13,Sat Oct 12 2019,Rochdale AFC,2-1,Accrington Stanley FC
13,Sat Oct 12 2019,Blackpool FC,1-2,Rotherham United FC
13,Sat Oct 12 2019,Oxford United FC,3-0,Doncaster Rovers FC
13,Sat Oct 12 2019,Bristol Rovers FC,1-0,Milton Keynes Dons FC
13,Sun Oct 13 2019,Coventry City FC,0-1,Tranmere Rovers FC
14,Fri Oct 18 2019,Lincoln City FC,0-0,Shrewsbury Town FC
14,Fri Oct 18 2019,Tranmere Rovers FC,1-1,Southend United FC
14,Sat Oct 19 2019,Gillingham FC,1-2,Peterborough United FC
14,Sat Oct 19 2019,Fleetwood Town FC,4-1,Burton Albion FC
