Round,Date,Team 1,FT,Team 2
1,Sat Aug 3 2019,Stockport County FC,0-1,Maidenhead United FC
1,Sat Aug 3 2019,Aldershot Town FC,1-2,AFC Fylde
1,Sat Aug 3 2019,Barnet FC,1-0,Yeovil Town FC
1,Sat Aug 3 2019,Chesterfield FC,1-2,Dover Athletic FC
1,Sat Aug 3 2019,Chorley FC,0-0,Bromley FC
1,Sat Aug 3 2019,Dagenham & Redbridge FC,0-2,Woking FC
1,Sat Aug 3 2019,Eastleigh FC,1-0,Notts County FC
1,Sat Aug 3 2019,Ebbsfleet United FC,1-4,FC Halifax Town
1,Sat Aug 3 2019,Harrogate Town AFC,2-2,Solihull Moors FC
1,Sat Aug 3 2019,Hartlepool United FC,1-3,Sutton United FC
1,Sat Aug 3 2019,Torquay United FC,2-1,Boreham Wood FC
1,Sat Aug 3 2019,Wrexham AFC,2-1,Barrow AFC
2,Tue Aug 6 2019,AFC Fylde,0-0,Chorley FC
2,Tue Aug 6 2019,Barrow AFC,0-3,Harrogate Town AFC
2,Tue Aug 6 2019,Boreham Wood FC,2-2,Wrexham AFC
2,Tue Aug 6 2019,Bromley FC,3-1,Ebbsfleet United FC
2,Tue Aug 6 2019,Dover Athletic FC,1-2,Dagenham & Redbridge FC
2,Tue Aug 6 2019,FC Halifax Town,2-0,Hartlepool United FC
2,Tue Aug 6 2019,Maidenhead United FC,1-1,Chesterfield FC
2,Tue Aug 6 2019,Notts County FC,1-1,Stockport County FC
2,Tue Aug 6 2019,Solihull Moors FC,3-0,Torquay United FC
2,Tue Aug 6 2019,Sutton United FC,1-1,Barnet FC
2,Tue Aug 6 2019,Woking FC,0-1,Aldershot Town FC
2,Tue Aug 6 2019,Yeovil Town FC,1-0,Eastleigh FC
3,Sat Aug 10 2019,AFC Fylde,1-0,Ebbsfleet United FC
3,Sat Aug 10 2019,Barrow AFC,2-0,Eastleigh FC
3,Sat Aug 10 2019,Boreham Wood FC,2-2,Chesterfield FC
3,Sat Aug 10 2019,Bromley FC,3-3,Torquay United FC
3,Sat Aug 10 2019,Dover Athletic FC,2-1,Wrexham AFC
3,Sat Aug 10 2019,FC Halifax Town,1-0,Dagenham & Redbridge FC
3,Sat Aug 10 2019,Maidenhead United FC,0-1,Hartlepool United FC
3,Sat Aug 10 2019,Solihull Moors FC,2-1,Aldershot Town FC
3,Sat Aug 10 2019,Sutton United FC,2-2,Chorley FC
3,Sat Aug 10 2019,Woking FC,1-0,Harrogate Town AFC
3,Sat Aug 10 2019,Yeovil Town FC,1-1,Stockport County FC
3,Sat Aug 10 2019,Notts County FC,1-2,Barnet FC
4,Tue Aug 13 2019,Aldershot Town FC,0-1,Bromley FC
4,Tue Aug 13 2019,Barnet FC,0-1,Dover Athletic FC
4,Tue Aug 13 2019,Chesterfield FC,1-2,Woking FC
4,Tue Aug 13 2019,Chorley FC,1-6,Solihull Moors FC
4,Tue Aug 13 2019,Dagenham & Redbridge FC,0-3,Boreham Wood FC
4,Tue Aug 13 2019,Eastleigh FC,1-1,Sutton United FC
4,Tue Aug 13 2019,Ebbsfleet United FC,1-3,Yeovil Town FC
4,Tue Aug 13 2019,Harrogate Town AFC,0-2,Notts County FC
4,Tue Aug 13 2019,Hartlepool United FC,2-2,AFC Fylde
4,Tue Aug 13 2019,Stockport County FC,3-2,Barrow AFC
4,Tue Aug 13 2019,Torquay United FC,0-2,Maidenhead United FC
4,Tue Aug 13 2019,Wrexham AFC,1-0,FC Halifax Town
5,Sat Aug 17 2019,AFC Fylde,1-4,Woking FC
5,Sat Aug 17 2019,Aldershot Town FC,1-1,FC Halifax Town
5,Sat Aug 17 2019,Barnet FC,2-2,Chesterfield FC
5,Sat Aug 17 2019,Boreham Wood FC,0-1,Sutton United FC
5,Sat Aug 17 2019,Dagenham & Redbridge FC,4-2,Harrogate Town AFC
5,Sat Aug 17 2019,Dover Athletic FC,1-2,Torquay United FC
5,Sat Aug 17 2019,Hartlepool United FC,2-3,Bromley FC
5,Sat Aug 17 2019,Maidenhead United FC,4-1,Chorley FC
5,Sat Aug 17 2019,Solihull Moors FC,2-1,Ebbsfleet United FC
5,Sat Aug 17 2019,Stockport County FC,2-0,Eastleigh FC
5,Sat Aug 17 2019,Barrow AFC,1-0,Yeovil Town FC
5,Sun Aug 18 2019,Notts County FC,1-1,Wrexham AFC
6,Sat Aug 24 2019,Bromley FC,1-0,Boreham Wood FC
6,Sat Aug 24 2019,Chesterfield FC,2-2,Barrow AFC
6,Sat Aug 24 2019,Chorley FC,0-0,Hartlepool United FC
6,Sat Aug 24 2019,Eastleigh FC,1-1,Dagenham & Redbridge FC
6,Sat Aug 24 2019,Ebbsfleet United FC,2-2,Notts County FC
6,Sat Aug 24 2019,FC Halifax Town,4-1,AFC Fylde
6,Sat Aug 24 2019,Harrogate Town AFC,2-1,Stockport County FC
6,Sat Aug 24 2019,Sutton United FC,1-2,Dover Athletic FC
6,Sat Aug 24 2019,Woking FC,2-0,Solihull Moors FC
6,Sat Aug 24 2019,Wrexham AFC,1-1,Barnet FC
6,Sat Aug 24 2019,Yeovil Town FC,1-2,Maidenhead United FC
6,Sat Aug 24 2019,Torquay United FC,2-0,Aldershot Town FC
7,Mon Aug 26 2019,AFC Fylde,0-0,Harrogate Town AFC
7,Mon Aug 26 2019,Aldershot Town FC,1-1,Sutton United FC
7,Mon Aug 26 2019,Barnet FC,2-2,Torquay United FC
7,Mon Aug 26 2019,Barrow AFC,1-2,FC Halifax Town
7,Mon Aug 26 2019,Boreham Wood FC,1-2,Ebbsfleet United FC
7,Mon Aug 26 2019,Dagenham & Redbridge FC,3-2,Yeovil Town FC
7,Mon Aug 26 2019,Dover Athletic FC,1-2,Woking FC
7,Mon Aug 26 2019,Hartlepool United FC,4-2,Wrexham AFC
7,Mon Aug 26 2019,Maidenhead United FC,1-2,Bromley FC
7,Mon Aug 26 2019,Notts County FC,5-1,Chorley FC
7,Mon Aug 26 2019,Stockport County FC,2-0,Chesterfield FC
7,Mon Aug 26 2019,Solihull Moors FC,1-2,Eastleigh FC
8,Sat Aug 31 2019,Bromley FC,2-2,AFC Fylde
8,Sat Aug 31 2019,Chesterfield FC,1-1,Dagenham & Redbridge FC
8,Sat Aug 31 2019,Eastleigh FC,1-2,Barnet FC
8,Sat Aug 31 2019,Ebbsfleet United FC,1-2,Aldershot Town FC
8,Sat Aug 31 2019,FC Halifax Town,2-1,Solihull Moors FC
8,Sat Aug 31 2019,Harrogate Town AFC,0-2,Dover Athletic FC
8,Sat Aug 31 2019,Sutton United FC,0-3,Maidenhead United FC
8,Sat Aug 31 2019,Torquay United FC,1-2,Hartlepool United FC
8,Sat Aug 31 2019,Woking FC,3-2,Barrow AFC
8,Sat Aug 31 2019,Wrexham AFC,1-2,Stockport County FC
8,Sat Aug 31 2019,Yeovil Town FC,3-1,Notts County FC
8,Sat Aug 31 2019,Chorley FC,1-3,Boreham Wood FC
9,Tue Sep 3 2019,Barrow AFC,0-1,Hartlepool United FC
9,Tue Sep 3 2019,Chesterfield FC,2-3,FC Halifax Town
9,Tue Sep 3 2019,Dover Athletic FC,1-1,Ebbsfleet United FC
9,Tue Sep 3 2019,Eastleigh FC,2-0,Boreham Wood FC
9,Tue Sep 3 2019,Harrogate Town AFC,2-0,Chorley FC
